,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
0,Problems___Don Diablo,2021-07-10 04:52,Don Diablo,Problems,9972,2021-07-10 04:52:00,0.721,0.768,3.0,-4.371,1.0,0.0685,0.21,0.00843,0.262,0.468,124.076,audio_features,2dyrLrVopYKGc3H9oOYSmZ,spotify:track:2dyrLrVopYKGc3H9oOYSmZ,https://api.spotify.com/v1/tracks/2dyrLrVopYKGc3H9oOYSmZ,https://api.spotify.com/v1/audio-analysis/2dyrLrVopYKGc3H9oOYSmZ,179032.0,4.0,Problems,6L2C3wz8KVARtC4wqrDJTG
1,Back In Time___Marshmello,2021-07-10 04:56,Marshmello,Back In Time,160877,2021-07-10 04:56:00,0.783,0.824,1.0,-4.558,1.0,0.0598,0.0108,0.000795,0.0748,0.413,139.998,audio_features,23YTJTopRwkkeX6QGsEaKc,spotify:track:23YTJTopRwkkeX6QGsEaKc,https://api.spotify.com/v1/tracks/23YTJTopRwkkeX6QGsEaKc,https://api.spotify.com/v1/audio-analysis/23YTJTopRwkkeX6QGsEaKc,160877.0,4.0,Shockwave,6yXPyhVxt3PHBwkinPFn6I
2,Head & Heart (feat. MNEK)___Joel Corry,2021-07-10 05:00,Joel Corry,Head & Heart (feat. MNEK),166028,2021-07-10 05:00:00,0.734,0.874,8.0,-3.158,1.0,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,audio_features,6cx06DFPPHchuUAcTxznu9,spotify:track:6cx06DFPPHchuUAcTxznu9,https://api.spotify.com/v1/tracks/6cx06DFPPHchuUAcTxznu9,https://api.spotify.com/v1/audio-analysis/6cx06DFPPHchuUAcTxznu9,166028.0,4.0,Head & Heart (feat. MNEK),5glfCPECXSHzidU6exW8wO
3,Down For The Ride___ItaloBrothers,2021-07-10 05:04,ItaloBrothers,Down For The Ride,160593,2021-07-10 05:04:00,0.705,0.73,4.0,-4.778,0.0,0.0894,0.171,2.42e-05,0.294,0.616,125.975,audio_features,0L8NzGlH4nmnbOUSg4gO72,spotify:track:0L8NzGlH4nmnbOUSg4gO72,https://api.spotify.com/v1/tracks/0L8NzGlH4nmnbOUSg4gO72,https://api.spotify.com/v1/audio-analysis/0L8NzGlH4nmnbOUSg4gO72,160594.0,4.0,Down For The Ride,54h5f6arTVEerecJIR9g84
4,Take Control___KREAM,2021-07-10 05:19,KREAM,Take Control,27041,2021-07-10 05:19:00,0.676,0.9,6.0,-6.469,1.0,0.0881,0.0105,0.0136,0.0942,0.482,122.984,audio_features,4NPkQtN5w0T4ju8T6mYVsJ,spotify:track:4NPkQtN5w0T4ju8T6mYVsJ,https://api.spotify.com/v1/tracks/4NPkQtN5w0T4ju8T6mYVsJ,https://api.spotify.com/v1/audio-analysis/4NPkQtN5w0T4ju8T6mYVsJ,167846.0,4.0,Take Control,5Lm6ONdbKjUFkM4h4Stgu7
5,Losin' Sleep___David Archuleta,2021-07-12 23:05,David Archuleta,Losin' Sleep,162407,2021-07-12 23:05:00,0.866,0.498,1.0,-7.022,0.0,0.0689,0.377,0.000168,0.146,0.423,143.967,audio_features,1cRG2cmtDHH98FhL5vIDHk,spotify:track:1cRG2cmtDHH98FhL5vIDHk,https://api.spotify.com/v1/tracks/1cRG2cmtDHH98FhL5vIDHk,https://api.spotify.com/v1/audio-analysis/1cRG2cmtDHH98FhL5vIDHk,163873.0,4.0,Losin' Sleep,0ciBkpOLIq8b2TWkLTygp2
6,Something 'Bout Love___David Archuleta,2021-07-12 23:10,David Archuleta,Something 'Bout Love,262266,2021-07-12 23:10:00,0.587,0.723,5.0,-4.127,1.0,0.0375,0.000253,0.0,0.167,0.423,120.041,audio_features,25pU0SsW1StdsEQbsFC7qP,spotify:track:25pU0SsW1StdsEQbsFC7qP,https://api.spotify.com/v1/tracks/25pU0SsW1StdsEQbsFC7qP,https://api.spotify.com/v1/audio-analysis/25pU0SsW1StdsEQbsFC7qP,262267.0,4.0,The Other Side of Down,6rdS6blx059zgT2vEtRnpI
7,I Will Go and Do (2020 Youth Theme Song)___David Archuleta,2021-07-12 23:15,David Archuleta,I Will Go and Do (2020 Youth Theme Song),236677,2021-07-12 23:15:00,0.625,0.261,9.0,-7.66,1.0,0.0265,0.756,0.0,0.13,0.233,74.013,audio_features,01nWmkzHrNKfURDi4xF3bu,spotify:track:01nWmkzHrNKfURDi4xF3bu,https://api.spotify.com/v1/tracks/01nWmkzHrNKfURDi4xF3bu,https://api.spotify.com/v1/audio-analysis/01nWmkzHrNKfURDi4xF3bu,236957.0,4.0,I Will Go and Do,7E2MS1gyfUNZL3tGyVSnRM
8,My Little Prayer___David Archuleta,2021-07-12 23:16,David Archuleta,My Little Prayer,58447,2021-07-12 23:16:00,0.396,0.224,8.0,-10.534,1.0,0.0295,0.833,2.72e-06,0.118,0.244,69.271,audio_features,7qLPynt52N0NzHoJEpgI3V,spotify:track:7qLPynt52N0NzHoJEpgI3V,https://api.spotify.com/v1/tracks/7qLPynt52N0NzHoJEpgI3V,https://api.spotify.com/v1/audio-analysis/7qLPynt52N0NzHoJEpgI3V,194565.0,3.0,My Little Prayer,0uybtR6a71zgradJmtwBvz
9,Losin' Sleep___David Archuleta,2021-07-12 23:16,David Archuleta,Losin' Sleep,17760,2021-07-12 23:16:00,0.866,0.498,1.0,-7.022,0.0,0.0689,0.377,0.000168,0.146,0.423,143.967,audio_features,1cRG2cmtDHH98FhL5vIDHk,spotify:track:1cRG2cmtDHH98FhL5vIDHk,https://api.spotify.com/v1/tracks/1cRG2cmtDHH98FhL5vIDHk,https://api.spotify.com/v1/audio-analysis/1cRG2cmtDHH98FhL5vIDHk,163873.0,4.0,Losin' Sleep,0ciBkpOLIq8b2TWkLTygp2
10,Something 'Bout Love___David Archuleta,2021-07-12 23:16,David Archuleta,Something 'Bout Love,1600,2021-07-12 23:16:00,0.587,0.723,5.0,-4.127,1.0,0.0375,0.000253,0.0,0.167,0.423,120.041,audio_features,25pU0SsW1StdsEQbsFC7qP,spotify:track:25pU0SsW1StdsEQbsFC7qP,https://api.spotify.com/v1/tracks/25pU0SsW1StdsEQbsFC7qP,https://api.spotify.com/v1/audio-analysis/25pU0SsW1StdsEQbsFC7qP,262267.0,4.0,The Other Side of Down,6rdS6blx059zgT2vEtRnpI
11,I Will Go and Do (2020 Youth Theme Song)___David Archuleta,2021-07-12 23:16,David Archuleta,I Will Go and Do (2020 Youth Theme Song),480,2021-07-12 23:16:00,0.625,0.261,9.0,-7.66,1.0,0.0265,0.756,0.0,0.13,0.233,74.013,audio_features,01nWmkzHrNKfURDi4xF3bu,spotify:track:01nWmkzHrNKfURDi4xF3bu,https://api.spotify.com/v1/tracks/01nWmkzHrNKfURDi4xF3bu,https://api.spotify.com/v1/audio-analysis/01nWmkzHrNKfURDi4xF3bu,236957.0,4.0,I Will Go and Do,7E2MS1gyfUNZL3tGyVSnRM
12,STAY (with Justin Bieber)___The Kid LAROI,2021-07-12 23:19,The Kid LAROI,STAY (with Justin Bieber),141805,2021-07-12 23:19:00,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806.0,4.0,STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ
13,STAY (with Justin Bieber)___The Kid LAROI,2021-07-12 23:20,The Kid LAROI,STAY (with Justin Bieber),3660,2021-07-12 23:20:00,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806.0,4.0,STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ
14,BOOTY CALL (skit)___The Kid LAROI,2021-07-12 23:20,The Kid LAROI,BOOTY CALL (skit),49521,2021-07-12 23:20:00,0.773,0.398,2.0,-11.494,1.0,0.871,0.978,0.0,0.413,0.556,56.284,audio_features,1KDsnpM14Y6CXbJHDaRV2B,spotify:track:1KDsnpM14Y6CXbJHDaRV2B,https://api.spotify.com/v1/tracks/1KDsnpM14Y6CXbJHDaRV2B,https://api.spotify.com/v1/audio-analysis/1KDsnpM14Y6CXbJHDaRV2B,56808.0,3.0,F*CK LOVE (SAVAGE),3YjfdLdpQcVI72uKhooZst
15,MAYBE___The Kid LAROI,2021-07-12 23:21,The Kid LAROI,MAYBE,21987,2021-07-12 23:21:00,0.606,0.532,4.0,-4.833,0.0,0.0777,0.00554,0.0,0.292,0.156,89.079,audio_features,4YfNO7sdbAKlkGpIFDDPXU,spotify:track:4YfNO7sdbAKlkGpIFDDPXU,https://api.spotify.com/v1/tracks/4YfNO7sdbAKlkGpIFDDPXU,https://api.spotify.com/v1/audio-analysis/4YfNO7sdbAKlkGpIFDDPXU,174182.0,4.0,F*CK LOVE,6RuwGwQcAureaOraKJNFQG
16,STAY (with Justin Bieber)___The Kid LAROI,2021-07-12 23:21,The Kid LAROI,STAY (with Justin Bieber),6613,2021-07-12 23:21:00,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806.0,4.0,STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ
17,STAY (with Justin Bieber)___The Kid LAROI,2021-07-12 23:23,The Kid LAROI,STAY (with Justin Bieber),141805,2021-07-12 23:23:00,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806.0,4.0,STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ
18,Bad Habits___Ed Sheeran,2021-07-12 23:27,Ed Sheeran,Bad Habits,152819,2021-07-12 23:27:00,0.807,0.893,11.0,-3.745,0.0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,audio_features,3rmo8F54jFF8OgYsqTxm5d,spotify:track:3rmo8F54jFF8OgYsqTxm5d,https://api.spotify.com/v1/tracks/3rmo8F54jFF8OgYsqTxm5d,https://api.spotify.com/v1/audio-analysis/3rmo8F54jFF8OgYsqTxm5d,230747.0,4.0,=,32iAEBstCjauDhyKpGjTuq
19,STAY (with Justin Bieber)___The Kid LAROI,2021-07-12 23:29,The Kid LAROI,STAY (with Justin Bieber),141805,2021-07-12 23:29:00,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806.0,4.0,STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ
20,Bad Habits___Ed Sheeran,2021-07-12 23:35,Ed Sheeran,Bad Habits,231041,2021-07-12 23:35:00,0.807,0.893,11.0,-3.745,0.0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,audio_features,3rmo8F54jFF8OgYsqTxm5d,spotify:track:3rmo8F54jFF8OgYsqTxm5d,https://api.spotify.com/v1/tracks/3rmo8F54jFF8OgYsqTxm5d,https://api.spotify.com/v1/audio-analysis/3rmo8F54jFF8OgYsqTxm5d,230747.0,4.0,=,32iAEBstCjauDhyKpGjTuq
21,Beggin'___Måneskin,2021-07-12 23:39,Måneskin,Beggin',211560,2021-07-12 23:39:00,0.714,0.8,11.0,-4.808,0.0,0.0504,0.127,0.0,0.359,0.589,134.002,audio_features,3Wrjm47oTz2sjIgck11l5e,spotify:track:3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/tracks/3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/audio-analysis/3Wrjm47oTz2sjIgck11l5e,211560.0,4.0,Chosen,2qJw6w5XwQO0PQlSWPu7Tw
22,Motley Crew___Post Malone,2021-07-12 23:42,Post Malone,Motley Crew,184213,2021-07-12 23:42:00,0.797,0.631,3.0,-3.818,0.0,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915,audio_features,40uMIn2zJLAQhNXghRjBed,spotify:track:40uMIn2zJLAQhNXghRjBed,https://api.spotify.com/v1/tracks/40uMIn2zJLAQhNXghRjBed,https://api.spotify.com/v1/audio-analysis/40uMIn2zJLAQhNXghRjBed,184213.0,4.0,Motley Crew,4tokbQaFXRrq8keVGBD9vb
23,NDA___Billie Eilish,2021-07-12 23:44,Billie Eilish,NDA,68374,2021-07-12 23:44:00,0.765,0.373,8.0,-9.921,1.0,0.0713,0.341,0.525,0.112,0.554,85.016,audio_features,38GBNKZUhfBkk3oNlWzRYd,spotify:track:38GBNKZUhfBkk3oNlWzRYd,https://api.spotify.com/v1/tracks/38GBNKZUhfBkk3oNlWzRYd,https://api.spotify.com/v1/audio-analysis/38GBNKZUhfBkk3oNlWzRYd,195777.0,4.0,Happier Than Ever,0JGOiO34nwfUdDrD612dOp
24,MONTERO (Call Me By Your Name)___Lil Nas X,2021-07-12 23:45,Lil Nas X,MONTERO (Call Me By Your Name),2357,2021-07-12 23:45:00,0.593,0.503,8.0,-6.725,0.0,0.22,0.293,0.0,0.405,0.71,178.781,audio_features,1SC5rEoYDGUK4NfG82494W,spotify:track:1SC5rEoYDGUK4NfG82494W,https://api.spotify.com/v1/tracks/1SC5rEoYDGUK4NfG82494W,https://api.spotify.com/v1/audio-analysis/1SC5rEoYDGUK4NfG82494W,137704.0,4.0,MONTERO,6pOiDiuDQqrmo5DbG0ZubR
25,Permission to Dance___BTS,2021-07-12 23:45,BTS,Permission to Dance,4341,2021-07-12 23:45:00,0.702,0.741,9.0,-5.33,1.0,0.0427,0.00544,0.0,0.337,0.646,124.925,audio_features,3XYRV7ZSHqIRDG87DKTtry,spotify:track:3XYRV7ZSHqIRDG87DKTtry,https://api.spotify.com/v1/tracks/3XYRV7ZSHqIRDG87DKTtry,https://api.spotify.com/v1/audio-analysis/3XYRV7ZSHqIRDG87DKTtry,187585.0,4.0,Permission to Dance,5ExDI42RCtISkQXAgv8dtZ
26,Kiss Me More (feat. SZA)___Doja Cat,2021-07-12 23:45,Doja Cat,Kiss Me More (feat. SZA),3775,2021-07-12 23:45:00,0.764,0.705,8.0,-3.463,1.0,0.0284,0.259,8.92e-05,0.12,0.781,110.97,audio_features,3DarAbFujv6eYNliUTyqtz,spotify:track:3DarAbFujv6eYNliUTyqtz,https://api.spotify.com/v1/tracks/3DarAbFujv6eYNliUTyqtz,https://api.spotify.com/v1/audio-analysis/3DarAbFujv6eYNliUTyqtz,208667.0,4.0,Planet Her,1nAQbHeOWTfQzbOoFrvndW
27,Levitating (feat. DaBaby)___Dua Lipa,2021-07-12 23:45,Dua Lipa,Levitating (feat. DaBaby),2176,2021-07-12 23:45:00,0.702,0.825,6.0,-3.787,0.0,0.0601,0.00883,0.0,0.0674,0.915,102.977,audio_features,5nujrmhLynf4yMoMtj8AQF,spotify:track:5nujrmhLynf4yMoMtj8AQF,https://api.spotify.com/v1/tracks/5nujrmhLynf4yMoMtj8AQF,https://api.spotify.com/v1/audio-analysis/5nujrmhLynf4yMoMtj8AQF,203064.0,4.0,Future Nostalgia,5lKlFlReHOLShQKyRv6AL9
28,Peaches (feat. Daniel Caesar & Giveon)___Justin Bieber,2021-07-12 23:45,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),11381,2021-07-12 23:45:00,0.677,0.696,0.0,-6.181,1.0,0.119,0.321,0.0,0.42,0.464,90.03,audio_features,4iJyoBOLtHqaGxP12qzhQI,spotify:track:4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/tracks/4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/audio-analysis/4iJyoBOLtHqaGxP12qzhQI,198082.0,4.0,Justice,5dGWwsZ9iB2Xc3UKR0gif2
29,Save Your Tears (with Ariana Grande) (Remix)___The Weeknd,2021-07-12 23:45,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),1429,2021-07-12 23:45:00,0.65,0.825,0.0,-4.645,1.0,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,audio_features,37BZB0z9T8Xu7U3e65qxFy,spotify:track:37BZB0z9T8Xu7U3e65qxFy,https://api.spotify.com/v1/tracks/37BZB0z9T8Xu7U3e65qxFy,https://api.spotify.com/v1/audio-analysis/37BZB0z9T8Xu7U3e65qxFy,191014.0,4.0,Save Your Tears (Remix),2fyOpT5c9kxR8zbDh6UtXh
30,Leave The Door Open___Bruno Mars,2021-07-12 23:45,Bruno Mars,Leave The Door Open,736,2021-07-12 23:45:00,0.586,0.616,5.0,-7.964,1.0,0.0324,0.182,0.0,0.0927,0.719,148.088,audio_features,02VBYrHfVwfEWXk5DXyf0T,spotify:track:02VBYrHfVwfEWXk5DXyf0T,https://api.spotify.com/v1/tracks/02VBYrHfVwfEWXk5DXyf0T,https://api.spotify.com/v1/audio-analysis/02VBYrHfVwfEWXk5DXyf0T,242096.0,4.0,An Evening With Silk Sonic,1YgekJJTEueWDaMr7BYqPk
31,good 4 u___Olivia Rodrigo,2021-07-12 23:45,Olivia Rodrigo,good 4 u,3605,2021-07-12 23:45:00,0.563,0.664,9.0,-5.044,1.0,0.154,0.335,0.0,0.0849,0.688,166.928,audio_features,4ZtFanR9U6ndgddUvNcjcG,spotify:track:4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/audio-analysis/4ZtFanR9U6ndgddUvNcjcG,178147.0,4.0,SOUR,6s84u2TUpR3wdUv4NgKA2j
32,STAY (with Justin Bieber)___The Kid LAROI,2021-07-12 23:49,The Kid LAROI,STAY (with Justin Bieber),59978,2021-07-12 23:49:00,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806.0,4.0,STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ
33,STAY (with Justin Bieber)___The Kid LAROI,2021-07-13 01:34,The Kid LAROI,STAY (with Justin Bieber),143528,2021-07-13 01:34:00,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806.0,4.0,STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ
34,STAY (with Justin Bieber)___The Kid LAROI,2021-07-13 01:37,The Kid LAROI,STAY (with Justin Bieber),141805,2021-07-13 01:37:00,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806.0,4.0,STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ
35,STAY (with Justin Bieber)___The Kid LAROI,2021-07-13 01:39,The Kid LAROI,STAY (with Justin Bieber),141805,2021-07-13 01:39:00,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806.0,4.0,STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ
36,STAY (with Justin Bieber)___The Kid LAROI,2021-07-13 01:41,The Kid LAROI,STAY (with Justin Bieber),141805,2021-07-13 01:41:00,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806.0,4.0,STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ
37,STAY (with Justin Bieber)___The Kid LAROI,2021-07-13 01:44,The Kid LAROI,STAY (with Justin Bieber),141805,2021-07-13 01:44:00,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806.0,4.0,STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ
38,STAY (with Justin Bieber)___The Kid LAROI,2021-07-13 01:46,The Kid LAROI,STAY (with Justin Bieber),141805,2021-07-13 01:46:00,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806.0,4.0,STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ
39,STAY (with Justin Bieber)___The Kid LAROI,2021-07-13 01:48,The Kid LAROI,STAY (with Justin Bieber),141805,2021-07-13 01:48:00,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806.0,4.0,STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ
40,STAY (with Justin Bieber)___The Kid LAROI,2021-07-13 01:51,The Kid LAROI,STAY (with Justin Bieber),141805,2021-07-13 01:51:00,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806.0,4.0,STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ
41,Take Control___KREAM,2021-07-13 15:53,KREAM,Take Control,2079,2021-07-13 15:53:00,0.676,0.9,6.0,-6.469,1.0,0.0881,0.0105,0.0136,0.0942,0.482,122.984,audio_features,4NPkQtN5w0T4ju8T6mYVsJ,spotify:track:4NPkQtN5w0T4ju8T6mYVsJ,https://api.spotify.com/v1/tracks/4NPkQtN5w0T4ju8T6mYVsJ,https://api.spotify.com/v1/audio-analysis/4NPkQtN5w0T4ju8T6mYVsJ,167846.0,4.0,Take Control,5Lm6ONdbKjUFkM4h4Stgu7
42,STAY (with Justin Bieber)___The Kid LAROI,2021-07-13 15:56,The Kid LAROI,STAY (with Justin Bieber),141805,2021-07-13 15:56:00,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806.0,4.0,STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ
43,Bad Habits___Ed Sheeran,2021-07-13 16:00,Ed Sheeran,Bad Habits,231041,2021-07-13 16:00:00,0.807,0.893,11.0,-3.745,0.0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,audio_features,3rmo8F54jFF8OgYsqTxm5d,spotify:track:3rmo8F54jFF8OgYsqTxm5d,https://api.spotify.com/v1/tracks/3rmo8F54jFF8OgYsqTxm5d,https://api.spotify.com/v1/audio-analysis/3rmo8F54jFF8OgYsqTxm5d,230747.0,4.0,=,32iAEBstCjauDhyKpGjTuq
44,Beggin'___Måneskin,2021-07-13 16:04,Måneskin,Beggin',211560,2021-07-13 16:04:00,0.714,0.8,11.0,-4.808,0.0,0.0504,0.127,0.0,0.359,0.589,134.002,audio_features,3Wrjm47oTz2sjIgck11l5e,spotify:track:3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/tracks/3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/audio-analysis/3Wrjm47oTz2sjIgck11l5e,211560.0,4.0,Chosen,2qJw6w5XwQO0PQlSWPu7Tw
45,NDA___Billie Eilish,2021-07-13 16:07,Billie Eilish,NDA,53147,2021-07-13 16:07:00,0.765,0.373,8.0,-9.921,1.0,0.0713,0.341,0.525,0.112,0.554,85.016,audio_features,38GBNKZUhfBkk3oNlWzRYd,spotify:track:38GBNKZUhfBkk3oNlWzRYd,https://api.spotify.com/v1/tracks/38GBNKZUhfBkk3oNlWzRYd,https://api.spotify.com/v1/audio-analysis/38GBNKZUhfBkk3oNlWzRYd,195777.0,4.0,Happier Than Ever,0JGOiO34nwfUdDrD612dOp
46,Motley Crew___Post Malone,2021-07-13 16:07,Post Malone,Motley Crew,184213,2021-07-13 16:07:00,0.797,0.631,3.0,-3.818,0.0,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915,audio_features,40uMIn2zJLAQhNXghRjBed,spotify:track:40uMIn2zJLAQhNXghRjBed,https://api.spotify.com/v1/tracks/40uMIn2zJLAQhNXghRjBed,https://api.spotify.com/v1/audio-analysis/40uMIn2zJLAQhNXghRjBed,184213.0,4.0,Motley Crew,4tokbQaFXRrq8keVGBD9vb
