,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
1962,Cold Heart - PNAU Remix___Elton John,2021-11-10 22:07,Elton John,Cold Heart - PNAU Remix,63541,2021-11-10 22:07:00,0.796,0.798,1.0,-6.312,1.0,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,audio_features,6zSpb8dQRaw0M1dK8PBwQz,spotify:track:6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/tracks/6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/audio-analysis/6zSpb8dQRaw0M1dK8PBwQz,202735.0,4.0,Cold Heart (PNAU Remix),5D8Rdb09BkmHscEGSWAlA6
1963,Heat Waves___Glass Animals,2021-11-10 22:11,Glass Animals,Heat Waves,238805,2021-11-10 22:11:00,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,3USxtqRwSYz57Ewm6wWRMp,spotify:track:3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,238805.0,4.0,Dreamland,5bfpRtBW7RNRdsm3tRyl3R
1964,ESCAPE PLAN___Travis Scott,2021-11-10 22:12,Travis Scott,ESCAPE PLAN,2176,2021-11-10 22:12:00,0.839,0.506,5.0,-6.714,0.0,0.133,0.00207,0.0,0.13,0.44,154.12,audio_features,4R67rQNSbbsR4TdUVOIdez,spotify:track:4R67rQNSbbsR4TdUVOIdez,https://api.spotify.com/v1/tracks/4R67rQNSbbsR4TdUVOIdez,https://api.spotify.com/v1/audio-analysis/4R67rQNSbbsR4TdUVOIdez,149610.0,4.0,ESCAPE PLAN / MAFIA,5FB5E1fwFeVqpz2CCzRSve
1965,Woman___Doja Cat,2021-11-10 22:12,Doja Cat,Woman,8607,2021-11-10 22:12:00,0.824,0.764,5.0,-4.175,0.0,0.0854,0.0888,0.00294,0.117,0.881,107.998,audio_features,6Uj1ctrBOjOas8xZXGqKk4,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/tracks/6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/audio-analysis/6Uj1ctrBOjOas8xZXGqKk4,172627.0,4.0,Planet Her,1nAQbHeOWTfQzbOoFrvndW
1966,INDUSTRY BABY (feat. Jack Harlow)___Lil Nas X,2021-11-10 22:12,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),6290,2021-11-10 22:12:00,0.736,0.704,3.0,-7.409,0.0,0.0615,0.0203,0.0,0.0501,0.894,149.995,audio_features,27NovPIUIRrOZoCHxABJwK,spotify:track:27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/tracks/27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/audio-analysis/27NovPIUIRrOZoCHxABJwK,212000.0,4.0,INDUSTRY BABY (feat. Jack Harlow),622NFw5Yk0OReMJ2XWcXUh
1967,love nwantiti (ah ah ah)___CKay,2021-11-10 22:12,CKay,love nwantiti (ah ah ah),3669,2021-11-10 22:12:00,0.727,0.739,8.0,-3.805,1.0,0.0411,0.365,0.00137,0.161,0.533,93.005,audio_features,2Xr1dTzJee307rmrkt8c0g,spotify:track:2Xr1dTzJee307rmrkt8c0g,https://api.spotify.com/v1/tracks/2Xr1dTzJee307rmrkt8c0g,https://api.spotify.com/v1/audio-analysis/2Xr1dTzJee307rmrkt8c0g,145800.0,4.0,CKay The First,6lheAtw3IcJvflIhLbykih
1968,MONEY___LISA,2021-11-10 22:12,LISA,MONEY,2176,2021-11-10 22:12:00,0.831,0.554,1.0,-9.998,0.0,0.218,0.161,6.12e-05,0.152,0.396,140.026,audio_features,7hU3IHwjX150XLoTVmjD0q,spotify:track:7hU3IHwjX150XLoTVmjD0q,https://api.spotify.com/v1/tracks/7hU3IHwjX150XLoTVmjD0q,https://api.spotify.com/v1/audio-analysis/7hU3IHwjX150XLoTVmjD0q,168228.0,4.0,LALISA,66OYt73mqan1hWa78BhfPd
1969,Cloud Up - 2015 full___DJ KIMERA,2021-11-10 22:13,DJ KIMERA,Cloud Up - 2015 full,14954,2021-11-10 22:13:00,0.697,0.892,11.0,-5.411,0.0,0.0501,0.03,0.967,0.172,0.529,127.987,audio_features,5ZXrmiC1ESKe4TLycEONYE,spotify:track:5ZXrmiC1ESKe4TLycEONYE,https://api.spotify.com/v1/tracks/5ZXrmiC1ESKe4TLycEONYE,https://api.spotify.com/v1/audio-analysis/5ZXrmiC1ESKe4TLycEONYE,175078.0,4.0,LUCKY 7 JACKPOT (Digital remaster),1D6Tkm3rKsdQhcUwJUAEs0
1970,Run It (feat. Rick Ross & Rich Brian)___DJ Snake,2021-11-10 22:20,DJ Snake,Run It (feat. Rick Ross & Rich Brian),424712,2021-11-10 22:20:00,0.688,0.725,2.0,-7.806,1.0,0.044,0.0195,7.63e-06,0.0726,0.225,104.006,audio_features,5x4vgABKiGp4Vg7ZyFRxhn,spotify:track:5x4vgABKiGp4Vg7ZyFRxhn,https://api.spotify.com/v1/tracks/5x4vgABKiGp4Vg7ZyFRxhn,https://api.spotify.com/v1/audio-analysis/5x4vgABKiGp4Vg7ZyFRxhn,163373.0,4.0,Shang-Chi and The Legend of The Ten Rings: The Album,2kAqjStKcwlDD59H0llhGC
1971,Don’t Go (with Justin Bieber & Don Toliver)___Skrillex,2021-11-10 22:24,Skrillex,Don’t Go (with Justin Bieber & Don Toliver),168253,2021-11-10 22:24:00,0.689,0.695,11.0,-5.22,1.0,0.0429,0.019,0.0,0.123,0.359,75.05,audio_features,55sgQENF3LY1sUcJUwasLl,spotify:track:55sgQENF3LY1sUcJUwasLl,https://api.spotify.com/v1/tracks/55sgQENF3LY1sUcJUwasLl,https://api.spotify.com/v1/audio-analysis/55sgQENF3LY1sUcJUwasLl,168253.0,4.0,Don’t Go (with Justin Bieber & Don Toliver),76HLs4wSTOuCNwcGl4dycr
