,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID,track Number
Childlike Wonder___Tibeauthetraveler,0.7,0.218,2.0,-12.003,1.0,0.0299,0.786,0.802,0.144,0.076,110.017,audio_features,6vBc1bG8snOXRHHbyCXvIB,spotify:track:6vBc1bG8snOXRHHbyCXvIB,https://api.spotify.com/v1/tracks/6vBc1bG8snOXRHHbyCXvIB,https://api.spotify.com/v1/audio-analysis/6vBc1bG8snOXRHHbyCXvIB,148496.0,4.0,Scenery,1F85ZcndEEfLMCrABfeZ9t,14
Feels Great (feat. Fetty Wap & CVBZ)___Cheat Codes,0.522,0.833,0.0,-3.715,1.0,0.0575,0.0454,0.0,0.127,0.296,180.009,audio_features,5uu28fUesZMl89lf9CLrgN,spotify:track:5uu28fUesZMl89lf9CLrgN,https://api.spotify.com/v1/tracks/5uu28fUesZMl89lf9CLrgN,https://api.spotify.com/v1/audio-analysis/5uu28fUesZMl89lf9CLrgN,193569.0,4.0,Feels Great (feat. Fetty Wap & CVBZ),0mwVjzIzef3VieD5B6JtUI,15
Let You Love Me___Rita Ora,0.475,0.846,10.0,-3.344,1.0,0.283,0.275,0.0,0.0824,0.451,96.036,audio_features,5Fla3zyOCcIRqrDoKLU0DP,spotify:track:5Fla3zyOCcIRqrDoKLU0DP,https://api.spotify.com/v1/tracks/5Fla3zyOCcIRqrDoKLU0DP,https://api.spotify.com/v1/audio-analysis/5Fla3zyOCcIRqrDoKLU0DP,191120.0,4.0,Phoenix (Deluxe Edition),6Vn8F3hERVHYYz5RfKmsAN,16
Comfort___Bcalm,0.472,0.366,11.0,-12.595,0.0,0.0286,0.15,0.312,0.0837,0.171,127.163,audio_features,5HNCy40Ni5BZJFw1TKzRsC,spotify:track:5HNCy40Ni5BZJFw1TKzRsC,https://api.spotify.com/v1/tracks/5HNCy40Ni5BZJFw1TKzRsC,https://api.spotify.com/v1/audio-analysis/5HNCy40Ni5BZJFw1TKzRsC,382297.0,4.0,The Wall,5Dbax7G8SWrP9xyzkOvy2F,17
cool winds___kudo,0.685,0.282,10.0,-16.84,1.0,0.04,0.944,0.892,0.109,0.0397,127.098,audio_features,1J4j8fqa3b5pMrMsGJTnrt,spotify:track:1J4j8fqa3b5pMrMsGJTnrt,https://api.spotify.com/v1/tracks/1J4j8fqa3b5pMrMsGJTnrt,https://api.spotify.com/v1/audio-analysis/1J4j8fqa3b5pMrMsGJTnrt,154961.0,4.0,love you two,10YyVdqdGOjpbGYXbO8wYX,18
Oops (I'm Sorry)___Lost Kings,0.657,0.797,2.0,-5.234,1.0,0.0298,0.0394,0.0,0.117,0.327,146.027,audio_features,4Q8qPf6kysKz9x2NQFHfi7,spotify:track:4Q8qPf6kysKz9x2NQFHfi7,https://api.spotify.com/v1/tracks/4Q8qPf6kysKz9x2NQFHfi7,https://api.spotify.com/v1/audio-analysis/4Q8qPf6kysKz9x2NQFHfi7,202487.0,4.0,"It's Not You, It's Me",4zsIydG84QRTBlDlXKn8dH,19
Spark___kyu,0.371,0.268,1.0,-10.506,1.0,0.0281,0.748,0.0517,0.104,0.165,102.617,audio_features,7D0RhFcb3CrfPuTJ0obrod,spotify:track:7D0RhFcb3CrfPuTJ0obrod,https://api.spotify.com/v1/tracks/7D0RhFcb3CrfPuTJ0obrod,https://api.spotify.com/v1/audio-analysis/7D0RhFcb3CrfPuTJ0obrod,227093.0,3.0,Parachutes,6ZG5lRT77aJ3btmArcykra,20
Heroes (we could be)___Alesso,0.503,0.748,5.0,-4.124,1.0,0.0619,0.0305,0.0,0.343,0.356,125.896,audio_features,3zU9rdflI65tK4dkkNSp77,spotify:track:3zU9rdflI65tK4dkkNSp77,https://api.spotify.com/v1/tracks/3zU9rdflI65tK4dkkNSp77,https://api.spotify.com/v1/audio-analysis/3zU9rdflI65tK4dkkNSp77,210013.0,4.0,Forever,0tRVSbmOwilUucqjzU0fQw,21
Wishing Well___Juice WRLD,0.65,0.613,9.0,-6.13,0.0,0.128,0.00336,0.0,0.267,0.0804,149.972,audio_features,2U5WueTLIK5WJLD7mvDODv,spotify:track:2U5WueTLIK5WJLD7mvDODv,https://api.spotify.com/v1/tracks/2U5WueTLIK5WJLD7mvDODv,https://api.spotify.com/v1/audio-analysis/2U5WueTLIK5WJLD7mvDODv,194621.0,4.0,Legends Never Die,6n9DKpOxwifT5hOXtgLZSL,22
Quiet Thoughts___Bcalm,0.651,0.192,6.0,-12.548,1.0,0.0403,0.715,0.868,0.111,0.223,124.052,audio_features,0ygsiA94TGm1eypOxTPAl1,spotify:track:0ygsiA94TGm1eypOxTPAl1,https://api.spotify.com/v1/tracks/0ygsiA94TGm1eypOxTPAl1,https://api.spotify.com/v1/audio-analysis/0ygsiA94TGm1eypOxTPAl1,140000.0,4.0,For You,1J1QC1wq4BpebKvPALqlbQ,23
Bright Lights___Tibeauthetraveler,0.537,0.251,1.0,-14.89,0.0,0.0513,0.694,0.808,0.111,0.0996,72.071,audio_features,27Bv9g7QR4X8yw9nLdyDm8,spotify:track:27Bv9g7QR4X8yw9nLdyDm8,https://api.spotify.com/v1/tracks/27Bv9g7QR4X8yw9nLdyDm8,https://api.spotify.com/v1/audio-analysis/27Bv9g7QR4X8yw9nLdyDm8,150272.0,4.0,Leaving This Place,6LsIX8JEMO1gOAUtBgok9k,24
In Your Eyes___The Weeknd,0.667,0.719,7.0,-5.371,0.0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021,audio_features,7szuecWAPwGoV1e5vGu8tl,spotify:track:7szuecWAPwGoV1e5vGu8tl,https://api.spotify.com/v1/tracks/7szuecWAPwGoV1e5vGu8tl,https://api.spotify.com/v1/audio-analysis/7szuecWAPwGoV1e5vGu8tl,237520.0,4.0,After Hours,4yP0hdKOZPNshxUOjY0cZj,25
Tie Me Down (with Elley Duhé)___Gryffin,0.608,0.845,6.0,-2.292,1.0,0.0597,0.136,0.0,0.111,0.322,98.976,audio_features,2zh01m4PiHaZz4BAm0NRxs,spotify:track:2zh01m4PiHaZz4BAm0NRxs,https://api.spotify.com/v1/tracks/2zh01m4PiHaZz4BAm0NRxs,https://api.spotify.com/v1/audio-analysis/2zh01m4PiHaZz4BAm0NRxs,218240.0,4.0,Gravity,2IAVHJdaRPFA6MQqXHoG75,26
Vertigo___Khalid,0.487,0.458,4.0,-7.761,0.0,0.0371,0.552,0.0257,0.117,0.207,115.989,audio_features,7stcuQtnHL7C6XdPvpwywv,spotify:track:7stcuQtnHL7C6XdPvpwywv,https://api.spotify.com/v1/tracks/7stcuQtnHL7C6XdPvpwywv,https://api.spotify.com/v1/audio-analysis/7stcuQtnHL7C6XdPvpwywv,270413.0,4.0,Suncity,4UNwL1B7JoymNUiTFJa52B,27
Miss You a Little (feat. lovelytheband)___Bryce Vine,0.636,0.886,0.0,-4.76,1.0,0.0433,0.347,0.0,0.171,0.589,140.888,audio_features,2tijppLc0gaWA2AfPDANvq,spotify:track:2tijppLc0gaWA2AfPDANvq,https://api.spotify.com/v1/tracks/2tijppLc0gaWA2AfPDANvq,https://api.spotify.com/v1/audio-analysis/2tijppLc0gaWA2AfPDANvq,168180.0,4.0,Miss You a Little (feat. lovelytheband),67OpexBmynKW5tWHE7PYOX,28
In My Head (feat. Travis Barker)___24kGoldn,0.669,0.707,10.0,-4.607,1.0,0.0668,0.00311,1.07e-06,0.0784,0.529,159.982,audio_features,3I3O8aazwBKkXN6RNjY06L,spotify:track:3I3O8aazwBKkXN6RNjY06L,https://api.spotify.com/v1/tracks/3I3O8aazwBKkXN6RNjY06L,https://api.spotify.com/v1/audio-analysis/3I3O8aazwBKkXN6RNjY06L,130118.0,4.0,In My Head (feat. Travis Barker),7CN4YY7AIz6Fh1FYNlRvaS,29
D.D.___The Weeknd,0.68,0.707,7.0,-7.225,0.0,0.0987,0.479,0.0,0.511,0.382,119.993,audio_features,7eZ7ODAt9cALYnWLO8F6Fd,spotify:track:7eZ7ODAt9cALYnWLO8F6Fd,https://api.spotify.com/v1/tracks/7eZ7ODAt9cALYnWLO8F6Fd,https://api.spotify.com/v1/audio-analysis/7eZ7ODAt9cALYnWLO8F6Fd,275493.0,4.0,Trilogy,5EbpxRwbbpCJUepbqVTZ1U,30
Empty Streets___M e a d o w,0.722,0.208,1.0,-15.266,0.0,0.0703,0.956,0.953,0.0973,0.113,160.056,audio_features,3gwg9ZOrqn9F49shmvtGqT,spotify:track:3gwg9ZOrqn9F49shmvtGqT,https://api.spotify.com/v1/tracks/3gwg9ZOrqn9F49shmvtGqT,https://api.spotify.com/v1/audio-analysis/3gwg9ZOrqn9F49shmvtGqT,123000.0,4.0,Days Of Tomorrow,4ovR9wO7d3JhdhPlPtyRtH,31
Moth To A Flame (with The Weeknd)___Swedish House Mafia,0.553,0.659,8.0,-7.295,1.0,0.0391,0.0027,0.0,0.105,0.105,120.146,audio_features,0VO8gYVDSwM1Qdd2GsMoYK,spotify:track:0VO8gYVDSwM1Qdd2GsMoYK,https://api.spotify.com/v1/tracks/0VO8gYVDSwM1Qdd2GsMoYK,https://api.spotify.com/v1/audio-analysis/0VO8gYVDSwM1Qdd2GsMoYK,234000.0,4.0,Paradise Again,2Dbe9L757CSQbhnbW5PVSH,32
House Of Balloons / Glass Table Girls___The Weeknd,0.65,0.711,0.0,-5.417,1.0,0.0377,0.0123,0.00943,0.301,0.319,89.019,audio_features,50iiDJGpAPdr2VTrz999XA,spotify:track:50iiDJGpAPdr2VTrz999XA,https://api.spotify.com/v1/tracks/50iiDJGpAPdr2VTrz999XA,https://api.spotify.com/v1/audio-analysis/50iiDJGpAPdr2VTrz999XA,405213.0,4.0,Trilogy,5EbpxRwbbpCJUepbqVTZ1U,33
Feel This Moment (feat. Christina Aguilera)___Pitbull,0.673,0.758,7.0,-3.632,1.0,0.158,0.039,0.0,0.341,0.542,135.956,audio_features,0Hf4aIJpsN4Os2f0y0VqWl,spotify:track:0Hf4aIJpsN4Os2f0y0VqWl,https://api.spotify.com/v1/tracks/0Hf4aIJpsN4Os2f0y0VqWl,https://api.spotify.com/v1/audio-analysis/0Hf4aIJpsN4Os2f0y0VqWl,229507.0,4.0,Global Warming: Meltdown (Deluxe Version),2F7tejLHzTqFq2XLol9ZGy,34
Black Panther - Ludwig Göransson Remix___Ludwig Goransson,0.428,0.414,8.0,-10.938,1.0,0.0416,0.816,0.868,0.0841,0.227,87.856,audio_features,5o2hoi9BjSptwHHFSf0agI,spotify:track:5o2hoi9BjSptwHHFSf0agI,https://api.spotify.com/v1/tracks/5o2hoi9BjSptwHHFSf0agI,https://api.spotify.com/v1/audio-analysis/5o2hoi9BjSptwHHFSf0agI,76973.0,3.0,Black Panther: Wakanda Remixed,2VoZ1APXjzAvYM5roMmcyX,35
Deep End - Tarro Remix___THEY.,0.617,0.677,7.0,-5.283,0.0,0.0708,0.257,3.15e-06,0.116,0.0968,143.994,audio_features,4GgC4R71ZWdInlhppPdLCD,spotify:track:4GgC4R71ZWdInlhppPdLCD,https://api.spotify.com/v1/tracks/4GgC4R71ZWdInlhppPdLCD,https://api.spotify.com/v1/audio-analysis/4GgC4R71ZWdInlhppPdLCD,188333.0,4.0,Deep End (Tarro Remix),6DcZV5D2JaMYUJr2ebDqkw,36
Who's Got Your Love___Cheat Codes,0.704,0.888,11.0,-2.872,1.0,0.0541,0.00553,0.0011,0.079,0.531,125.027,audio_features,5EpR6BqAnwR9PPl6sIrzGy,spotify:track:5EpR6BqAnwR9PPl6sIrzGy,https://api.spotify.com/v1/tracks/5EpR6BqAnwR9PPl6sIrzGy,https://api.spotify.com/v1/audio-analysis/5EpR6BqAnwR9PPl6sIrzGy,157000.0,4.0,Who's Got Your Love,2ddicfthS1XeBDkhDqnWI3,37
I Can't Do This Anymore___Amess,0.67,0.0662,10.0,-18.314,0.0,0.0428,0.925,0.932,0.101,0.147,135.955,audio_features,628V748xeHasyjh1gVRMkc,spotify:track:628V748xeHasyjh1gVRMkc,https://api.spotify.com/v1/tracks/628V748xeHasyjh1gVRMkc,https://api.spotify.com/v1/audio-analysis/628V748xeHasyjh1gVRMkc,140000.0,4.0,Are we okay?,2OGFH0bReNN15Ydr8g0WjD,38
Weightless___TABAL,0.672,0.306,9.0,-7.006,1.0,0.0288,0.919,0.921,0.105,0.206,140.101,audio_features,5ZJNPYJvyv9kL2AtRwnY0G,spotify:track:5ZJNPYJvyv9kL2AtRwnY0G,https://api.spotify.com/v1/tracks/5ZJNPYJvyv9kL2AtRwnY0G,https://api.spotify.com/v1/audio-analysis/5ZJNPYJvyv9kL2AtRwnY0G,136286.0,4.0,3 Am. Study Session,7rrt4vAwMsCDl5cIbn7NJA,39
Payphone___Maroon 5,0.739,0.756,4.0,-4.828,1.0,0.0394,0.0136,0.0,0.37,0.523,110.028,audio_features,1LmN9SSHISbtp9LoaR5ZVJ,spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,https://api.spotify.com/v1/tracks/1LmN9SSHISbtp9LoaR5ZVJ,https://api.spotify.com/v1/audio-analysis/1LmN9SSHISbtp9LoaR5ZVJ,231387.0,4.0,Overexposed,5x7JzoE4A3DwwU6FPt8qws,40
Matches___Cash Cash,0.555,0.783,10.0,-1.888,1.0,0.112,0.479,0.0,0.0838,0.329,149.785,audio_features,7nwGvxqSrgAuty1tlPGCFz,spotify:track:7nwGvxqSrgAuty1tlPGCFz,https://api.spotify.com/v1/tracks/7nwGvxqSrgAuty1tlPGCFz,https://api.spotify.com/v1/audio-analysis/7nwGvxqSrgAuty1tlPGCFz,187600.0,4.0,Matches,7AkKHgxhTKZm8cdJ7V0Aq6,41
Talk - Alle Farben Remix___Khalid,0.638,0.818,9.0,-4.517,0.0,0.05,0.131,1.78e-05,0.107,0.489,126.015,audio_features,06BrHnTVDOydsfg0LZ6mQb,spotify:track:06BrHnTVDOydsfg0LZ6mQb,https://api.spotify.com/v1/tracks/06BrHnTVDOydsfg0LZ6mQb,https://api.spotify.com/v1/audio-analysis/06BrHnTVDOydsfg0LZ6mQb,167990.0,4.0,Talk (Alle Farben Remix),0N3tXBqOxFYcmrYRe8HDvr,42
Lost Tapes___softy,0.325,0.21,1.0,-12.915,1.0,0.0326,0.968,0.934,0.241,0.0418,109.263,audio_features,4OAQMThXj7kEjtGAfAhLNY,spotify:track:4OAQMThXj7kEjtGAfAhLNY,https://api.spotify.com/v1/tracks/4OAQMThXj7kEjtGAfAhLNY,https://api.spotify.com/v1/audio-analysis/4OAQMThXj7kEjtGAfAhLNY,156774.0,1.0,The Breeze,1CmDaXEWRSIJoJVO4lmNkf,43
On My Own___Trevor Daniel,0.669,0.593,7.0,-6.628,1.0,0.0406,0.14,0.0,0.119,0.281,87.965,audio_features,51xUartdwQzXmtrwHyXRVp,spotify:track:51xUartdwQzXmtrwHyXRVp,https://api.spotify.com/v1/tracks/51xUartdwQzXmtrwHyXRVp,https://api.spotify.com/v1/audio-analysis/51xUartdwQzXmtrwHyXRVp,145413.0,4.0,Teen Beach 2 (Original TV Movie Soundtrack),1g0o05ehdpvoEYfhMXvW9P,44
Just Like That___Pegboard Nerds,0.405,0.768,0.0,-5.387,1.0,0.0898,0.0422,0.0,0.13,0.338,159.988,audio_features,1vN2yV1aOQ6uJvEpJ5GYc0,spotify:track:1vN2yV1aOQ6uJvEpJ5GYc0,https://api.spotify.com/v1/tracks/1vN2yV1aOQ6uJvEpJ5GYc0,https://api.spotify.com/v1/audio-analysis/1vN2yV1aOQ6uJvEpJ5GYc0,203569.0,4.0,Pink Cloud,2rSOPAGlhWUAzjdThQcChJ,45
Man's Not Hot___Big Shaq,0.905,0.884,0.0,-4.076,1.0,0.236,0.111,8.31e-05,0.107,0.588,135.048,audio_features,6X5OFBbrsHRsyO1zP7udgr,spotify:track:6X5OFBbrsHRsyO1zP7udgr,https://api.spotify.com/v1/tracks/6X5OFBbrsHRsyO1zP7udgr,https://api.spotify.com/v1/audio-analysis/6X5OFBbrsHRsyO1zP7udgr,186027.0,4.0,Man's Not Hot,5d2vrwvK9NqOd5S54Hu50A,46
Stranger Things (feat. OneRepublic)___Kygo,0.604,0.661,0.0,-5.914,1.0,0.0375,0.234,0.0,0.0951,0.506,107.016,audio_features,4sJqSKPc5fZ5OZ8JiVI44N,spotify:track:4sJqSKPc5fZ5OZ8JiVI44N,https://api.spotify.com/v1/tracks/4sJqSKPc5fZ5OZ8JiVI44N,https://api.spotify.com/v1/audio-analysis/4sJqSKPc5fZ5OZ8JiVI44N,221440.0,4.0,Kids in Love,47oyrKaeobswT4T8zyaxdM,47
The Ringer___Eminem,0.939,0.551,1.0,-9.126,1.0,0.291,0.0311,0.0,0.192,0.42,118.552,audio_features,2jt2WxXMCD4zjACthkJQVE,spotify:track:2jt2WxXMCD4zjACthkJQVE,https://api.spotify.com/v1/tracks/2jt2WxXMCD4zjACthkJQVE,https://api.spotify.com/v1/audio-analysis/2jt2WxXMCD4zjACthkJQVE,337941.0,4.0,Kamikaze,3HNnxK7NgLXbDoxRZxNWiR,48
Stay For It___RL Grime,0.355,0.852,6.0,-3.966,0.0,0.0632,0.0134,1.98e-05,0.0774,0.173,143.925,audio_features,69Lq3BWssbLhf4QDRtFY51,spotify:track:69Lq3BWssbLhf4QDRtFY51,https://api.spotify.com/v1/tracks/69Lq3BWssbLhf4QDRtFY51,https://api.spotify.com/v1/audio-analysis/69Lq3BWssbLhf4QDRtFY51,258082.0,4.0,Stay For It,3BAaYERimsEWJ1Y16O5tIs,49
Losing It Over You (feat. Ayme)___Matoma,0.42,0.658,6.0,-6.72,1.0,0.094,0.597,0.0,0.103,0.196,94.93,audio_features,03csMcRh5OEeBQbSxc4xla,spotify:track:03csMcRh5OEeBQbSxc4xla,https://api.spotify.com/v1/tracks/03csMcRh5OEeBQbSxc4xla,https://api.spotify.com/v1/audio-analysis/03csMcRh5OEeBQbSxc4xla,207158.0,4.0,One in a Million,5FAgkqm09atYktUn6owa2q,50
Love Somebody___Maroon 5,0.675,0.792,1.0,-6.303,1.0,0.0368,0.145,0.0,0.12,0.395,120.016,audio_features,0HnaqUxvHP5LaWdmWwJpiS,spotify:track:0HnaqUxvHP5LaWdmWwJpiS,https://api.spotify.com/v1/tracks/0HnaqUxvHP5LaWdmWwJpiS,https://api.spotify.com/v1/audio-analysis/0HnaqUxvHP5LaWdmWwJpiS,229813.0,4.0,Overexposed (Deluxe),7i1Ej2Ix9aIiLKqhNwAB2l,51
Pillars Of Creation___Purrple Cat,0.69,0.286,8.0,-15.853,1.0,0.036,0.806,0.83,0.111,0.0957,117.982,audio_features,0Gq8QDFodRfId2oVeWxVqC,spotify:track:0Gq8QDFodRfId2oVeWxVqC,https://api.spotify.com/v1/tracks/0Gq8QDFodRfId2oVeWxVqC,https://api.spotify.com/v1/audio-analysis/0Gq8QDFodRfId2oVeWxVqC,149799.0,4.0,Sleepless Night,4RbUBdVqWlbRDXs5D8rBFd,52
Alone___Marshmello,0.631,0.953,2.0,-3.739,1.0,0.0343,0.0241,0.0155,0.108,0.422,141.99,audio_features,3MEYFivt6bilQ9q9mFWZ4g,spotify:track:3MEYFivt6bilQ9q9mFWZ4g,https://api.spotify.com/v1/tracks/3MEYFivt6bilQ9q9mFWZ4g,https://api.spotify.com/v1/audio-analysis/3MEYFivt6bilQ9q9mFWZ4g,273803.0,4.0,Alone,7ePC9qS9mSOTY9E0YPP6yg,53
its been a long day___Jhove,0.685,0.26,4.0,-14.598,0.0,0.0344,0.799,0.825,0.109,0.158,134.034,audio_features,3qrLp0roPMiK6Y02Me1y6n,spotify:track:3qrLp0roPMiK6Y02Me1y6n,https://api.spotify.com/v1/tracks/3qrLp0roPMiK6Y02Me1y6n,https://api.spotify.com/v1/audio-analysis/3qrLp0roPMiK6Y02Me1y6n,143284.0,4.0,new beginnings,5xL5nDgApm2L4P88gqLDIj,54
Over the Rainbow / Simple Gifts___The Piano Guys,0.585,0.439,0.0,-11.409,1.0,0.0357,0.899,0.906,0.36,0.614,170.056,audio_features,3TgaPzOX2706KUeTyA7DFx,spotify:track:3TgaPzOX2706KUeTyA7DFx,https://api.spotify.com/v1/tracks/3TgaPzOX2706KUeTyA7DFx,https://api.spotify.com/v1/audio-analysis/3TgaPzOX2706KUeTyA7DFx,224053.0,4.0,The Piano Guys,6P2EwTc87RwLx2ANZVr1JY,55
Twinbow___Slushii,0.675,0.929,9.0,-2.578,1.0,0.0478,0.291,0.00724,0.397,0.465,140.006,audio_features,6kUB88CQG4dAOkUmURwBLA,spotify:track:6kUB88CQG4dAOkUmURwBLA,https://api.spotify.com/v1/tracks/6kUB88CQG4dAOkUmURwBLA,https://api.spotify.com/v1/audio-analysis/6kUB88CQG4dAOkUmURwBLA,166286.0,4.0,Twinbow,3RHlRBrW6sjkgAZyC7q69C,56
Dream Catcher___Vexento,0.61,0.82,6.0,-13.903,0.0,0.0364,0.847,0.886,0.0987,0.753,156.017,audio_features,1xH4kQDDn7254RSbP2YaZq,spotify:track:1xH4kQDDn7254RSbP2YaZq,https://api.spotify.com/v1/tracks/1xH4kQDDn7254RSbP2YaZq,https://api.spotify.com/v1/audio-analysis/1xH4kQDDn7254RSbP2YaZq,196754.0,4.0,Dream Catcher,0zH9DKHnRUk5MXPHoXvH6o,57
