,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID,track Number
from me to you___Towerz,0.737,0.103,4.0,-16.369,1.0,0.0449,0.913,0.812,0.0929,0.291,68.979,audio_features,27G1NZHwIJjxVoVybSbwRc,spotify:track:27G1NZHwIJjxVoVybSbwRc,https://api.spotify.com/v1/tracks/27G1NZHwIJjxVoVybSbwRc,https://api.spotify.com/v1/audio-analysis/27G1NZHwIJjxVoVybSbwRc,170125.0,4.0,At Long Last,2VEa2ZdUZixLajyluonXXg,166
So Long (feat. Madi)___Slushii,0.712,0.727,4.0,-5.22,0.0,0.0362,0.263,0.000257,0.13,0.492,145.014,audio_features,7ppz0b5ecGXM8xHg5yGDhK,spotify:track:7ppz0b5ecGXM8xHg5yGDhK,https://api.spotify.com/v1/tracks/7ppz0b5ecGXM8xHg5yGDhK,https://api.spotify.com/v1/audio-analysis/7ppz0b5ecGXM8xHg5yGDhK,178767.0,4.0,So Long (feat. Madi),7DGYrxmgYPEnsnKxP78n5F,167
Till You Drop___ItaloBrothers,0.538,0.795,7.0,-4.491,1.0,0.0816,0.0681,0.0,0.164,0.608,169.949,audio_features,7aBJzGAuCYJ8r5YEaBpyOH,spotify:track:7aBJzGAuCYJ8r5YEaBpyOH,https://api.spotify.com/v1/tracks/7aBJzGAuCYJ8r5YEaBpyOH,https://api.spotify.com/v1/audio-analysis/7aBJzGAuCYJ8r5YEaBpyOH,226581.0,4.0,Till You Drop,6IQ0H9jfxlExod1Yrg2W0z,168
Bodies___Wafia,0.656,0.932,4.0,-3.405,0.0,0.0708,0.00347,0.00147,0.144,0.544,130.936,audio_features,7CpbhqKUedOIrcvc94p60Y,spotify:track:7CpbhqKUedOIrcvc94p60Y,https://api.spotify.com/v1/tracks/7CpbhqKUedOIrcvc94p60Y,https://api.spotify.com/v1/audio-analysis/7CpbhqKUedOIrcvc94p60Y,201960.0,4.0,Sinner,089oyV5caclve3ap934iRw,169
Moods___anbuu,0.794,0.325,7.0,-11.607,1.0,0.0762,0.787,0.941,0.14,0.227,79.982,audio_features,1VflmOkAHdNbMCo4E2C5k9,spotify:track:1VflmOkAHdNbMCo4E2C5k9,https://api.spotify.com/v1/tracks/1VflmOkAHdNbMCo4E2C5k9,https://api.spotify.com/v1/audio-analysis/1VflmOkAHdNbMCo4E2C5k9,156000.0,4.0,Morning Coffee,6SyfRVMVetoCiUXBEzCJ0J,170
malibu (with Trevor Daniel)___sangiovanni,0.673,0.744,7.0,-4.844,0.0,0.0753,0.0356,0.0,0.152,0.632,147.975,audio_features,0PvKGTPfI1yLizE2oSwgul,spotify:track:0PvKGTPfI1yLizE2oSwgul,https://api.spotify.com/v1/tracks/0PvKGTPfI1yLizE2oSwgul,https://api.spotify.com/v1/audio-analysis/0PvKGTPfI1yLizE2oSwgul,166216.0,4.0,malibu (with Trevor Daniel),1vXdvPw8t7oe6vKcKfEq7o,171
Around the World___Daft Punk,0.956,0.795,7.0,-5.311,1.0,0.15,0.00356,0.889,0.0906,0.841,121.294,audio_features,1pKYYY0dkg23sQQXi0Q5zN,spotify:track:1pKYYY0dkg23sQQXi0Q5zN,https://api.spotify.com/v1/tracks/1pKYYY0dkg23sQQXi0Q5zN,https://api.spotify.com/v1/audio-analysis/1pKYYY0dkg23sQQXi0Q5zN,429533.0,4.0,Homework,5uRdvUR7xCnHmUW8n64n9y,172
Save Your Tears___The Weeknd,0.68,0.826,0.0,-5.487,1.0,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,audio_features,5QO79kh1waicV47BqGRL3g,spotify:track:5QO79kh1waicV47BqGRL3g,https://api.spotify.com/v1/tracks/5QO79kh1waicV47BqGRL3g,https://api.spotify.com/v1/audio-analysis/5QO79kh1waicV47BqGRL3g,215627.0,4.0,After Hours,4yP0hdKOZPNshxUOjY0cZj,173
We Could Go Back - Jonas Blue & Jack Wins Club Mix___Jonas Blue,0.652,0.83,0.0,-3.766,0.0,0.0423,0.376,7.28e-05,0.382,0.622,126.121,audio_features,1moAPCCBviS5HHFVHjtzrp,spotify:track:1moAPCCBviS5HHFVHjtzrp,https://api.spotify.com/v1/tracks/1moAPCCBviS5HHFVHjtzrp,https://api.spotify.com/v1/audio-analysis/1moAPCCBviS5HHFVHjtzrp,175473.0,4.0,We Could Go Back (Jonas Blue & Jack Wins Club Mix),2wTS6RTDGPNogGbItFDyg8,174
I Won___Ty Dolla $ign,0.762,0.788,9.0,-4.087,0.0,0.174,0.272,0.0,0.114,0.672,140.993,audio_features,1viUV5EGlKGCiSveBfFeQg,spotify:track:1viUV5EGlKGCiSveBfFeQg,https://api.spotify.com/v1/tracks/1viUV5EGlKGCiSveBfFeQg,https://api.spotify.com/v1/audio-analysis/1viUV5EGlKGCiSveBfFeQg,175640.0,4.0,I Won [From F9 The Fast Saga Original Motion Picture Soundtrack],01RtA0qCjfGy0FY4ON23nD,175
Cold Sting In The Wind___HM Surf,0.601,0.0109,4.0,-26.249,1.0,0.0711,0.926,0.93,0.0754,0.307,142.04,audio_features,7oWFZZxPbQZPmWcrq9KQbp,spotify:track:7oWFZZxPbQZPmWcrq9KQbp,https://api.spotify.com/v1/tracks/7oWFZZxPbQZPmWcrq9KQbp,https://api.spotify.com/v1/audio-analysis/7oWFZZxPbQZPmWcrq9KQbp,154769.0,4.0,Pool Days,6aAhMy4SJgRHQyWB4dvv1p,176
Nothing Stopping Me___Vicetone,0.602,0.801,5.0,-2.427,1.0,0.0471,0.137,0.0,0.103,0.375,126.952,audio_features,1QJN61zuPWRy6nj58ndREm,spotify:track:1QJN61zuPWRy6nj58ndREm,https://api.spotify.com/v1/tracks/1QJN61zuPWRy6nj58ndREm,https://api.spotify.com/v1/audio-analysis/1QJN61zuPWRy6nj58ndREm,223225.0,4.0,Nothing Stopping Me,20isz2FhZwPMe7pZiUDUfj,177
Into The Unknown___Don Diablo,0.323,0.405,10.0,-8.533,0.0,0.0413,0.849,0.000544,0.138,0.274,145.104,audio_features,3Z0oQ8r78OUaHvGPiDBR3W,spotify:track:3Z0oQ8r78OUaHvGPiDBR3W,https://api.spotify.com/v1/tracks/3Z0oQ8r78OUaHvGPiDBR3W,https://api.spotify.com/v1/audio-analysis/3Z0oQ8r78OUaHvGPiDBR3W,194848.0,5.0,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),4M07HWIlZr7zoXoxDHR5mz,178
Firework___Dallas String Quartet,0.592,0.551,9.0,-3.809,0.0,0.0286,0.826,0.452,0.16,0.591,127.938,audio_features,5Y2g2734P6TcuJJmDwz9QO,spotify:track:5Y2g2734P6TcuJJmDwz9QO,https://api.spotify.com/v1/tracks/5Y2g2734P6TcuJJmDwz9QO,https://api.spotify.com/v1/audio-analysis/5Y2g2734P6TcuJJmDwz9QO,222053.0,4.0,Red,48sxpy1XGBS2dVU8ebh9lY,179
My Little Prayer___David Archuleta,0.396,0.224,8.0,-10.534,1.0,0.0295,0.833,2.72e-06,0.118,0.244,69.271,audio_features,7qLPynt52N0NzHoJEpgI3V,spotify:track:7qLPynt52N0NzHoJEpgI3V,https://api.spotify.com/v1/tracks/7qLPynt52N0NzHoJEpgI3V,https://api.spotify.com/v1/audio-analysis/7qLPynt52N0NzHoJEpgI3V,194565.0,3.0,My Little Prayer,0uybtR6a71zgradJmtwBvz,180
Kaigan___Raimu,0.485,0.263,4.0,-15.429,0.0,0.0566,0.857,0.881,0.255,0.0398,82.931,audio_features,0oMVelu4urDEUoLCghjnYw,spotify:track:0oMVelu4urDEUoLCghjnYw,https://api.spotify.com/v1/tracks/0oMVelu4urDEUoLCghjnYw,https://api.spotify.com/v1/audio-analysis/0oMVelu4urDEUoLCghjnYw,125983.0,4.0,Soothing Breeze,4gc3hBMuSMWNYfXgxuhp0Y,181
Flight___Tristam,0.433,0.758,2.0,-5.736,1.0,0.662,0.0409,2.64e-05,0.102,0.22,87.402,audio_features,4Uhty1kvytzqhwoLO2CVoi,spotify:track:4Uhty1kvytzqhwoLO2CVoi,https://api.spotify.com/v1/tracks/4Uhty1kvytzqhwoLO2CVoi,https://api.spotify.com/v1/audio-analysis/4Uhty1kvytzqhwoLO2CVoi,219429.0,4.0,Flight,6mOUQ523znFWPykhV0uvfa,182
Hymn for the Weekend___Coldplay,0.491,0.693,0.0,-6.487,0.0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,audio_features,3RiPr603aXAoi4GHyXx0uy,spotify:track:3RiPr603aXAoi4GHyXx0uy,https://api.spotify.com/v1/tracks/3RiPr603aXAoi4GHyXx0uy,https://api.spotify.com/v1/audio-analysis/3RiPr603aXAoi4GHyXx0uy,258267.0,4.0,A Head Full of Dreams,3cfAM8b8KqJRoIzt3zLKqw,183
Die For You___The Weeknd,0.582,0.525,1.0,-7.163,0.0,0.0627,0.111,0.0,0.134,0.51,133.249,audio_features,2Ch7LmS7r2Gy2kc64wv3Bz,spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,https://api.spotify.com/v1/tracks/2Ch7LmS7r2Gy2kc64wv3Bz,https://api.spotify.com/v1/audio-analysis/2Ch7LmS7r2Gy2kc64wv3Bz,260253.0,4.0,Starboy,2ODvWsOgouMbaA5xf0RkJe,184
Window Seat___Kurt Stewart,0.613,0.0909,0.0,-16.06,0.0,0.0405,0.964,0.891,0.101,0.2,130.043,audio_features,5JYVocZpeUBB12ZzuxscsQ,spotify:track:5JYVocZpeUBB12ZzuxscsQ,https://api.spotify.com/v1/tracks/5JYVocZpeUBB12ZzuxscsQ,https://api.spotify.com/v1/audio-analysis/5JYVocZpeUBB12ZzuxscsQ,150051.0,4.0,Pegan Hill,1qT0jx1jNSzgWzvOt50qfI,185
Frisbee___Ahxello,0.581,0.865,0.0,-4.36,0.0,0.0353,0.027,0.000113,0.106,0.254,127.978,audio_features,4uZDqd7PcWI019bHEDbhhR,spotify:track:4uZDqd7PcWI019bHEDbhhR,https://api.spotify.com/v1/tracks/4uZDqd7PcWI019bHEDbhhR,https://api.spotify.com/v1/audio-analysis/4uZDqd7PcWI019bHEDbhhR,191270.0,4.0,Frisbee,4JxGYfwyFUgXb8Dryiez4D,186
Thrift Shop (feat. Wanz)___Macklemore & Ryan Lewis,0.781,0.526,6.0,-6.986,0.0,0.293,0.0633,0.0,0.0457,0.665,94.993,audio_features,6CjtS2JZH9RkDz5UVInsa9,spotify:track:6CjtS2JZH9RkDz5UVInsa9,https://api.spotify.com/v1/tracks/6CjtS2JZH9RkDz5UVInsa9,https://api.spotify.com/v1/audio-analysis/6CjtS2JZH9RkDz5UVInsa9,235613.0,4.0,The Heist,5QWHes9ODwn42DHTifGkXd,187
Say So - Snakehips Remix___Doja Cat,0.717,0.866,7.0,-6.269,1.0,0.0824,0.00291,9.26e-05,0.0462,0.748,117.979,audio_features,0YiILuIBfDyYTUmd9uLwcd,spotify:track:0YiILuIBfDyYTUmd9uLwcd,https://api.spotify.com/v1/tracks/0YiILuIBfDyYTUmd9uLwcd,https://api.spotify.com/v1/audio-analysis/0YiILuIBfDyYTUmd9uLwcd,200596.0,4.0,Say So (Snakehips Remix),2d4PtyHOJVAx7rVRKaK6WV,188
Lie___Shallou,0.513,0.661,5.0,-6.419,1.0,0.24,0.161,0.0,0.246,0.179,94.791,audio_features,07FkzikE6FuHIa8Ma7zJGc,spotify:track:07FkzikE6FuHIa8Ma7zJGc,https://api.spotify.com/v1/tracks/07FkzikE6FuHIa8Ma7zJGc,https://api.spotify.com/v1/audio-analysis/07FkzikE6FuHIa8Ma7zJGc,209213.0,4.0,Perception,1KOmHyNLuOe5YrPhD3Juuf,189
Can't Fight It___Quintino,0.685,0.76,0.0,-4.882,0.0,0.0313,0.00465,1.61e-05,0.219,0.323,128.035,audio_features,630NcCRy9UpGgVKEPBQSIH,spotify:track:630NcCRy9UpGgVKEPBQSIH,https://api.spotify.com/v1/tracks/630NcCRy9UpGgVKEPBQSIH,https://api.spotify.com/v1/audio-analysis/630NcCRy9UpGgVKEPBQSIH,184453.0,4.0,Can't Fight It,2Y1uKcVkxiVGkjvTXZn5Zq,190
Sweet Evening___Jordy Chandra,0.696,0.472,4.0,-16.109,1.0,0.0346,0.969,0.858,0.205,0.235,119.997,audio_features,1OflLzbmAbFyJdy6cH6B9q,spotify:track:1OflLzbmAbFyJdy6cH6B9q,https://api.spotify.com/v1/tracks/1OflLzbmAbFyJdy6cH6B9q,https://api.spotify.com/v1/audio-analysis/1OflLzbmAbFyJdy6cH6B9q,116000.0,4.0,Sweet Evening,7t2TsGSInynonjjVTfx9eX,191
LALISA___LISA,0.806,0.653,8.0,-6.283,1.0,0.0902,0.0282,0.000784,0.107,0.85,150.058,audio_features,7uQZVznj0uQOGC9KhV2Mg6,spotify:track:7uQZVznj0uQOGC9KhV2Mg6,https://api.spotify.com/v1/tracks/7uQZVznj0uQOGC9KhV2Mg6,https://api.spotify.com/v1/audio-analysis/7uQZVznj0uQOGC9KhV2Mg6,200690.0,4.0,LALISA,66OYt73mqan1hWa78BhfPd,192
Addicted To You - Avicii By Avicii___Avicii,0.89,0.459,10.0,-5.453,1.0,0.0873,0.118,0.0127,0.0414,0.454,126.012,audio_features,3XfGM99TOeyPsnDtgTqtkT,spotify:track:3XfGM99TOeyPsnDtgTqtkT,https://api.spotify.com/v1/tracks/3XfGM99TOeyPsnDtgTqtkT,https://api.spotify.com/v1/audio-analysis/3XfGM99TOeyPsnDtgTqtkT,331507.0,4.0,True: Avicii By Avicii,0ignCov9foaLxuqND5GMtl,193
Hum With Me___John De Sohn,0.653,0.708,10.0,-5.385,1.0,0.0345,0.109,0.0011,0.163,0.347,111.924,audio_features,4DfxFGwreu9BquiLRClwh8,spotify:track:4DfxFGwreu9BquiLRClwh8,https://api.spotify.com/v1/tracks/4DfxFGwreu9BquiLRClwh8,https://api.spotify.com/v1/audio-analysis/4DfxFGwreu9BquiLRClwh8,167871.0,4.0,Hum With Me,2BlKfvaFNecIDsjTybbT8X,194
Never Is Enough___iann dior,0.733,0.54,5.0,-4.522,0.0,0.0288,0.38,0.0,0.0633,0.642,96.03,audio_features,3DIRkZsEx7zFl6ow9qsyHz,spotify:track:3DIRkZsEx7zFl6ow9qsyHz,https://api.spotify.com/v1/tracks/3DIRkZsEx7zFl6ow9qsyHz,https://api.spotify.com/v1/audio-analysis/3DIRkZsEx7zFl6ow9qsyHz,134000.0,4.0,Industry Plant,5UuzudgFxwLkxC1LFajC5e,195
Golden Hour___Jhove,0.658,0.257,6.0,-22.229,1.0,0.117,0.253,0.533,0.105,0.0672,86.0,audio_features,2SFwrmmYGuOaT2cgsd7IOh,spotify:track:2SFwrmmYGuOaT2cgsd7IOh,https://api.spotify.com/v1/tracks/2SFwrmmYGuOaT2cgsd7IOh,https://api.spotify.com/v1/audio-analysis/2SFwrmmYGuOaT2cgsd7IOh,136000.0,4.0,Golden Hour,1fcPpAx2k2HQaQ6t3ZAEm4,196
Superheroes___The Script,0.49,0.885,3.0,-4.121,1.0,0.0396,0.00218,0.0,0.0741,0.64,166.996,audio_features,37sINbJZcFdHFAsVNsPq1i,spotify:track:37sINbJZcFdHFAsVNsPq1i,https://api.spotify.com/v1/tracks/37sINbJZcFdHFAsVNsPq1i,https://api.spotify.com/v1/audio-analysis/37sINbJZcFdHFAsVNsPq1i,245467.0,4.0,No Sound Without Silence,6yd9yk8nFcHalXzy7mgaDx,197
Kaikai Kitan (Jujutsu Kaisen)___Kayou. Beats,0.581,0.322,7.0,-11.717,0.0,0.0333,0.84,0.952,0.148,0.148,170.052,audio_features,7IkYNUyOQLdu0ja79Tx2Er,spotify:track:7IkYNUyOQLdu0ja79Tx2Er,https://api.spotify.com/v1/tracks/7IkYNUyOQLdu0ja79Tx2Er,https://api.spotify.com/v1/audio-analysis/7IkYNUyOQLdu0ja79Tx2Er,138338.0,4.0,Anime Lofi Beats 3,1iwTkZuUPJTqzi4Dl7bFpa,198
Before You Go___Jhove,0.72,0.221,7.0,-16.089,1.0,0.0456,0.99,0.783,0.0967,0.166,155.972,audio_features,2GxoKme3baQNHHLrGdYJZP,spotify:track:2GxoKme3baQNHHLrGdYJZP,https://api.spotify.com/v1/tracks/2GxoKme3baQNHHLrGdYJZP,https://api.spotify.com/v1/audio-analysis/2GxoKme3baQNHHLrGdYJZP,150000.0,4.0,Before You Go,6rZmtp1Bc9n0rN20uqsLea,199
Running Back To You___Martin Jensen,0.675,0.73,0.0,-5.982,1.0,0.0909,0.0669,0.0,0.0686,0.892,102.025,audio_features,700VR1dVBEST0qHxPcfmD1,spotify:track:700VR1dVBEST0qHxPcfmD1,https://api.spotify.com/v1/tracks/700VR1dVBEST0qHxPcfmD1,https://api.spotify.com/v1/audio-analysis/700VR1dVBEST0qHxPcfmD1,176796.0,4.0,Wochenende 2022,7gRMUcqesV3qMuVeP0x5GR,200
River Flows In You___Yiruma,0.315,0.22,9.0,-21.343,1.0,0.0514,0.987,0.943,0.0802,0.116,145.195,audio_features,2agBDIr9MYDUducQPC1sFU,spotify:track:2agBDIr9MYDUducQPC1sFU,https://api.spotify.com/v1/tracks/2agBDIr9MYDUducQPC1sFU,https://api.spotify.com/v1/audio-analysis/2agBDIr9MYDUducQPC1sFU,188787.0,4.0,Yiruma 2nd Album 'First Love' (The Original & the Very First Recording),1N6p8qmf8PJgYQdktQQYYh,201
Mockingbird___Eminem,0.637,0.678,0.0,-3.798,1.0,0.266,0.209,0.0,0.156,0.254,84.039,audio_features,561jH07mF1jHuk7KlaeF0s,spotify:track:561jH07mF1jHuk7KlaeF0s,https://api.spotify.com/v1/tracks/561jH07mF1jHuk7KlaeF0s,https://api.spotify.com/v1/audio-analysis/561jH07mF1jHuk7KlaeF0s,250760.0,4.0,Encore (Deluxe Version),1kTlYbs28MXw7hwO0NLYif,202
Whole Heart___Gryffin,0.501,0.648,9.0,-7.173,1.0,0.0696,0.028,1.26e-05,0.153,0.191,163.834,audio_features,4Z1t1aMRif8ES212kTN8H2,spotify:track:4Z1t1aMRif8ES212kTN8H2,https://api.spotify.com/v1/tracks/4Z1t1aMRif8ES212kTN8H2,https://api.spotify.com/v1/audio-analysis/4Z1t1aMRif8ES212kTN8H2,225200.0,4.0,Whole Heart,5LKilxrPSOHakkR3V56YYZ,203
Call You Mine___The Chainsmokers,0.585,0.696,4.0,-5.6,0.0,0.0307,0.204,0.0,0.344,0.522,104.01,audio_features,2oejEp50ZzPuQTQ6v54Evp,spotify:track:2oejEp50ZzPuQTQ6v54Evp,https://api.spotify.com/v1/tracks/2oejEp50ZzPuQTQ6v54Evp,https://api.spotify.com/v1/audio-analysis/2oejEp50ZzPuQTQ6v54Evp,217640.0,4.0,World War Joy,01GR4NL5O5CZM51k0aejKD,204
Where Would We Be___ROZES,0.54,0.701,4.0,-6.112,1.0,0.0533,0.00367,0.0,0.296,0.427,167.012,audio_features,2d3fNzMA3aUqeRFWHqzbHd,spotify:track:2d3fNzMA3aUqeRFWHqzbHd,https://api.spotify.com/v1/tracks/2d3fNzMA3aUqeRFWHqzbHd,https://api.spotify.com/v1/audio-analysis/2d3fNzMA3aUqeRFWHqzbHd,208024.0,4.0,Where Would We Be,4309GpSGqkWBCDwGiSxqA6,205
Beautiful Wave___Matoma,0.605,0.824,9.0,-3.289,1.0,0.0352,0.00507,0.0,0.102,0.289,145.02,audio_features,4fZVREY9Ix61b2bwYkqWTA,spotify:track:4fZVREY9Ix61b2bwYkqWTA,https://api.spotify.com/v1/tracks/4fZVREY9Ix61b2bwYkqWTA,https://api.spotify.com/v1/audio-analysis/4fZVREY9Ix61b2bwYkqWTA,208552.0,4.0,Beautiful Wave,6pvVa6BUh781z52BF8diiz,206
Maps___Maroon 5,0.742,0.713,1.0,-5.522,0.0,0.0303,0.0205,0.0,0.059,0.879,120.032,audio_features,4gbVRS8gloEluzf0GzDOFc,spotify:track:4gbVRS8gloEluzf0GzDOFc,https://api.spotify.com/v1/tracks/4gbVRS8gloEluzf0GzDOFc,https://api.spotify.com/v1/audio-analysis/4gbVRS8gloEluzf0GzDOFc,189960.0,4.0,V,2Auw0pTT6EcQdvHNimhLQI,207
Dandelion___Galantis,0.8,0.66,0.0,-4.903,1.0,0.158,0.158,0.02,0.14,0.634,117.923,audio_features,4NexTaCZZ7Ehnf03A6SVjt,spotify:track:4NexTaCZZ7Ehnf03A6SVjt,https://api.spotify.com/v1/tracks/4NexTaCZZ7Ehnf03A6SVjt,https://api.spotify.com/v1/audio-analysis/4NexTaCZZ7Ehnf03A6SVjt,140012.0,4.0,Dandelion,6YPTwr9e07jNzBJgXbmoQZ,208
Miracle___Kayou.,0.355,0.867,2.0,-3.144,1.0,0.0738,0.00664,0.554,0.323,0.295,142.849,audio_features,4RvmQ5qbP5PxgJD0BN4EZK,spotify:track:4RvmQ5qbP5PxgJD0BN4EZK,https://api.spotify.com/v1/tracks/4RvmQ5qbP5PxgJD0BN4EZK,https://api.spotify.com/v1/audio-analysis/4RvmQ5qbP5PxgJD0BN4EZK,180133.0,4.0,Dear Miss Lonelyhearts,3InEURs5PQ2CMrnvzSVaPy,209
Stellar Wind___Ky akasha,0.657,0.0816,0.0,-17.527,1.0,0.0361,0.761,0.918,0.105,0.067,76.036,audio_features,7EvysDiBiVqJMdWBEwwW2x,spotify:track:7EvysDiBiVqJMdWBEwwW2x,https://api.spotify.com/v1/tracks/7EvysDiBiVqJMdWBEwwW2x,https://api.spotify.com/v1/audio-analysis/7EvysDiBiVqJMdWBEwwW2x,128684.0,3.0,Seeing Beauty in Everything,0t9hQI1IHGk59RRH91HAjB,210
Something 'Bout Love___David Archuleta,0.587,0.723,5.0,-4.127,1.0,0.0375,0.000253,0.0,0.167,0.423,120.041,audio_features,25pU0SsW1StdsEQbsFC7qP,spotify:track:25pU0SsW1StdsEQbsFC7qP,https://api.spotify.com/v1/tracks/25pU0SsW1StdsEQbsFC7qP,https://api.spotify.com/v1/audio-analysis/25pU0SsW1StdsEQbsFC7qP,262267.0,4.0,The Other Side of Down,6rdS6blx059zgT2vEtRnpI,211
Smile___Gorgon City,0.541,0.812,4.0,-3.764,1.0,0.0336,0.203,0.0,0.42,0.607,141.056,audio_features,4ZC8hXXqu2hPcDLw9QTdtQ,spotify:track:4ZC8hXXqu2hPcDLw9QTdtQ,https://api.spotify.com/v1/tracks/4ZC8hXXqu2hPcDLw9QTdtQ,https://api.spotify.com/v1/audio-analysis/4ZC8hXXqu2hPcDLw9QTdtQ,201627.0,4.0,Happy Hour,2MyLXLijtCj7VKGzBM7dyW,212
love within___Linearwave,0.626,0.201,2.0,-12.888,0.0,0.0369,0.951,0.945,0.0905,0.266,131.046,audio_features,6wv5lxSg3U9DSC5KvbQdfr,spotify:track:6wv5lxSg3U9DSC5KvbQdfr,https://api.spotify.com/v1/tracks/6wv5lxSg3U9DSC5KvbQdfr,https://api.spotify.com/v1/audio-analysis/6wv5lxSg3U9DSC5KvbQdfr,97099.0,4.0,love within,4NYnzOZDYMcQvA3Ome46ej,213
THINK YOU RIGHT (feat. ericdoa & glaive)___Whethan,0.583,0.697,0.0,-6.035,1.0,0.0363,0.00875,0.0,0.146,0.37,127.988,audio_features,5qfUdVpFVW6fU7GiVCIolX,spotify:track:5qfUdVpFVW6fU7GiVCIolX,https://api.spotify.com/v1/tracks/5qfUdVpFVW6fU7GiVCIolX,https://api.spotify.com/v1/audio-analysis/5qfUdVpFVW6fU7GiVCIolX,113487.0,4.0,THINK YOU RIGHT (feat. ericdoa & glaive),5Ze7k6gmLpqovfxYJ8vxwG,214
Lonely Together - (feat. Rita Ora) Alan Walker Remix___Avicii,0.637,0.791,5.0,-5.831,1.0,0.0469,0.29,0.0,0.229,0.43,103.051,audio_features,4QwNKEWMM7dyLB7Ew9DHHg,spotify:track:4QwNKEWMM7dyLB7Ew9DHHg,https://api.spotify.com/v1/tracks/4QwNKEWMM7dyLB7Ew9DHHg,https://api.spotify.com/v1/audio-analysis/4QwNKEWMM7dyLB7Ew9DHHg,179760.0,4.0,Lonely Together (Remixes),31gLK2SKwtqNogrwMRIyQ0,215
UFO - Trap Edit___Vigiland,0.731,0.608,0.0,-6.886,0.0,0.0489,0.0547,0.00165,0.102,0.358,149.995,audio_features,7bmNm68EEyvggTrJyjrTbJ,spotify:track:7bmNm68EEyvggTrJyjrTbJ,https://api.spotify.com/v1/tracks/7bmNm68EEyvggTrJyjrTbJ,https://api.spotify.com/v1/audio-analysis/7bmNm68EEyvggTrJyjrTbJ,107349.0,4.0,UFO,5fkAvx2E00HYs3bQAmRIBy,216
No Promises (feat. Demi Lovato) - Ashworth Remix___Cheat Codes,0.673,0.646,10.0,-7.101,1.0,0.0552,0.434,0.0,0.187,0.521,121.119,audio_features,6TmtxRY1tGhH6rY8HVvHG7,spotify:track:6TmtxRY1tGhH6rY8HVvHG7,https://api.spotify.com/v1/tracks/6TmtxRY1tGhH6rY8HVvHG7,https://api.spotify.com/v1/audio-analysis/6TmtxRY1tGhH6rY8HVvHG7,199339.0,4.0,No Promises (feat. Demi Lovato) Remixes,0jp0tdI8jzTzJ7jhcHdRNA,217
Know Your Worth___Khalid,0.79,0.694,9.0,-7.726,0.0,0.0708,0.145,0.00252,0.281,0.508,103.007,audio_features,0TrPqhAMoaKUFLR7iYDokf,spotify:track:0TrPqhAMoaKUFLR7iYDokf,https://api.spotify.com/v1/tracks/0TrPqhAMoaKUFLR7iYDokf,https://api.spotify.com/v1/audio-analysis/0TrPqhAMoaKUFLR7iYDokf,181436.0,4.0,Know Your Worth,0uLz2ygHQAtLknyGasJOr5,218
Acquainted___The Weeknd,0.372,0.478,7.0,-9.835,0.0,0.0503,0.482,0.0,0.0844,0.254,101.102,audio_features,7uJH0YdSZL6psjxI6Xy08b,spotify:track:7uJH0YdSZL6psjxI6Xy08b,https://api.spotify.com/v1/tracks/7uJH0YdSZL6psjxI6Xy08b,https://api.spotify.com/v1/audio-analysis/7uJH0YdSZL6psjxI6Xy08b,348853.0,4.0,Beauty Behind The Madness,0P3oVJBFOv3TDXlYRhGL7s,219
Hold (Candyland Remix)___Elephante,0.735,0.691,5.0,-5.448,0.0,0.211,0.154,6.43e-05,0.164,0.305,103.863,audio_features,6sFIeNeq18x9JCsCIwTvvw,spotify:track:6sFIeNeq18x9JCsCIwTvvw,https://api.spotify.com/v1/tracks/6sFIeNeq18x9JCsCIwTvvw,https://api.spotify.com/v1/audio-analysis/6sFIeNeq18x9JCsCIwTvvw,136166.0,4.0,I Am The Elephante Remixes,5BNJGWTaN96oYEmpSmXR77,220
2002___Anne-Marie,0.697,0.683,1.0,-2.881,0.0,0.117,0.0372,0.0,0.137,0.603,96.133,audio_features,2BgEsaKNfHUdlh97KmvFyo,spotify:track:2BgEsaKNfHUdlh97KmvFyo,https://api.spotify.com/v1/tracks/2BgEsaKNfHUdlh97KmvFyo,https://api.spotify.com/v1/audio-analysis/2BgEsaKNfHUdlh97KmvFyo,186987.0,4.0,Speak Your Mind (Deluxe),7lPoGKpCGgdKFAxpudhAH5,221
Cabin In The Forest___xander.,0.599,0.27,4.0,-19.503,1.0,0.0999,0.902,0.912,0.066,0.27,90.056,audio_features,2DVlEqfna6wRYNwOwy5YK7,spotify:track:2DVlEqfna6wRYNwOwy5YK7,https://api.spotify.com/v1/tracks/2DVlEqfna6wRYNwOwy5YK7,https://api.spotify.com/v1/audio-analysis/2DVlEqfna6wRYNwOwy5YK7,193333.0,4.0,Daydreaming,4k19LycdqMXnzEiiZOYivp,222
